question_code;question;answer
[KE03:044];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Die zunehmende Entfernung des Nahpunktes mit zunehmendem Alter wird Altersweitsichtigkeit oder Presbyopie genannt.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
[KE03:113];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Der sogenannte blinde Fleck in unserem Gesichtsfeld ist uns im Alltag nicht bewusst, da der blinde Fleck außerhalb unseres Fokusbereiches liegt.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:141];"
Welche der folgenden Aussagen sind richtig?
Wählen Sie eine oder mehrere Antworten:Der ventrale Informationsstrom  wird auch der Wo-Strom genannt. 
Der dorsale Informationsstrom  wird auch der Warum-Strom genannt. 
Der ventrale Informationsstrom  wird auch der Was-Strom genannt. 
Der dorsale Informationsstrom  wird auch der Was-Strom genannt. 
Der dorsale Informationsstrom  wird auch der Wo-Strom genannt. 
Der ventrale Informationsstrom  wird auch der Warum-Strom genannt. 
";  Der dorsale Informationsstrom  wird auch der Wo-Strom genannt., Der ventrale Informationsstrom  wird auch der Was-Strom genannt.
[KE03:087];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Umgangssprachlich wird die impulsartige Aktivität eines Neurons auch als Geistesblitz bezeichnet.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:043];"
Wie wird die geringste Entfernung zum Auge genannt, in der sich ein Objekt befinden darf, damit es noch scharf auf der Netzhaut abgebildet werden kann?
Wählen Sie eine Antwort:Fixpunkt 
Fernpunkt 
Scharfpunkt 
Glückspunkt 
Nahpunkt 
Sehpunkt 
Schiefpunkt 
";  Nahpunkt
[KE03:011];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Die Stärke eines Aktionspotentials entspricht der Stärke der Erregung eines Neurons.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:054];"
Wieviel Prozent der Brechkraft entfallen auf die Linse?
Wählen Sie eine Antwort:10% 
20% 
30% 
40% 
50% 
";  20%
[KE03:070];"
Über welche Größenordnungen erstreckt sich die potentielle Länge von Axonen?
Wählen Sie eine Antwort:1µm bis 1mm 
1mm bis 1m 
1m bis 10m 
1µm bis 10m 
";  1mm bis 1m
[KE03:136];"
Welche der folgenden Aussagen sind richtig?
Wählen Sie eine oder mehrere Antworten:Da die temporalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet. 
Da die nasalen Sehnervenfasern im CGL die Gehirnseite wechseln, werden Objekte, die sich rechts in unserem Gesichtsfeld befinden, in der linken Gehirnhälfte verarbeitet. 
Da die temporalen Sehnervenfasern im CGL die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet. 
Da die nasalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet. 
";  Da die nasalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet.
[KE03:081];"
Welche der folgenden Eigenschaften neuronaler Netze finden Anwendung bei künstlichen Neuronalen Netzen?
Wählen Sie eine oder mehrere Antworten:Die Inhibition 
Die Regeneration 
Die räumliche Wellenpropagation 
Die Signaltransferrate 
Die Signaltransfergeschwindigkeit 
Die Prohibition 
Die räumliche Informationsorganisation 
Die Konvergenz 
";  Die Konvergenz, Die Inhibition, Die räumliche Informationsorganisation
[KE03:076];"
In welchem Verhältnis steht die Anzahl der Ganglienzellen in etwa zur Anzahl der Rezeptoren?
Wählen Sie eine Antwort:1:1 
1:10 
1:100 
1:1000 
1:10000 
";  1
[KE03:003];"
Was verbirgt sich hinter der Abkürzung SOM?
Wählen Sie eine Antwort:synaptisch organische Mutationen 
systematisch orientierte Karten 
selbstorganisierende Karten 
steuernde oszillierende Membrane 
";  selbstorganisierende Karten
[KE03:069];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Synapsen sind die Kontaktstellen zwischen Neuronen und somit keine Bestandteile eines Neurons im eigentlichen Sinne.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
[KE03:133];"
Wodurch zeichnen sich die Zellen im inferotemporalen Kortex aus?
Wählen Sie eine oder mehrere Antworten:Sie reagieren auf einen Stimulus in abstrahierender Weise, d.h. losgelöst von dessen Details. 
Sie reagieren eher auf komplexere als auf einfache Stimuli. 
Sie besitzen rezeptive Felder, die kleiner sind als jene in V1. 
Sie reagieren eher auf einfache als auf komplexe Stimuli. 
Sie reagieren auf sehr feine Abweichungen selbst in geringsten Details. 
Sie besitzen rezeptive Felder, die größer sind als jene in V1. 
";  Sie reagieren eher auf komplexere als auf einfache Stimuli., Sie besitzen rezeptive Felder, die größer sind als jene in V1., Sie reagieren auf einen Stimulus in abstrahierender Weise, d.h. losgelöst von dessen Details.
[KE03:085];"
Welche der folgenden Aussagen über Mach'sche Streifen sind korrekt?
Wählen Sie eine oder mehrere Antworten:Mach'sche Streifen können durch Inhibition erklärt werden. 
Mach'sche Streifen führen zu objektiver Kontrastverstärkung. 
Mach'sche Streifen entstehen bei starken Helligkeitsübergängen. 
Mach'sche Streifen machen bei disziplinierter Anwendung schlank. 
Mach'sche Streifen sind ein schneller Polizeidienst. 
Mach'sche Streifen führen zu subjektiver Kontrastverstärkung. 
Mach'sche Streifen sind ein visueller Effekt. 
";  Mach'sche Streifen können durch Inhibition erklärt werden., Mach'sche Streifen sind ein visueller Effekt., Mach'sche Streifen entstehen bei starken Helligkeitsübergängen., Mach'sche Streifen führen zu subjektiver Kontrastverstärkung.
[KE03:033];"
Welche der folgenden Aussagen über die Retina sind korrekt?
Wählen Sie eine oder mehrere Antworten:Die Retina enthält Sehpigmente. 
Die Retina enthält lichtempfindliche Rezeptoren. 
Die Retina hemmt den Sehnerv. 
Die Retina fokussiert Licht auf die Fovea. 
Die Retina besitzt einen gelben Fleck. 
Die Retina enthält Tännchen und Zapfen. 
";  Die Retina enthält lichtempfindliche Rezeptoren., Die Retina enthält Sehpigmente., Die Retina besitzt einen gelben Fleck.
[KE03:123];"
Womit wird die spektrale Empfindlichkeit der Zapfen ermittelt?
Wählen Sie eine Antwort:mit einem spektralen Sensorimeter 
mittels monochromatischer Lichtblitze 
mit einem Spektroskop 
mittels multichromatischer Lichtblitze 
mittels weißer Lichtblitze 
";  mittels monochromatischer Lichtblitze
[KE03:122];"
Welche Prinzipien natürlicher neuronalen Netze finden sich auch bei ihrem künstlichen Verwandten, dem wachsenden neuronalen Gas von Bernd Fritzke?
Wählen Sie eine oder mehrere Antworten:Populationskodierung 
Selbstorganisation 
Plastizität 
stochastische Verarbeitung 
";  Plastizität, Selbstorganisation
[KE03:130];"
Die Empfindlichkeit beim Zapfensehen ist nicht konstant, sondern abhängig von der betrachteten Farbe unterschiedlich stark gewichtet. Ordnen Sie den 5 unten aufgeführten Farben folgende Empfindlichkeiten zu:

ca. 0,1   =   geringe Empfindlichkeit
ca. 0,5   =   mittlere Empfindlichkeit
ca. 1,0   =   hohe Empfindlichkeit


Wählen Sie eine oder mehrere Antworten:1) Blau:   ca. 0,1 
1) Blau:   ca. 0,5 
1) Blau:   ca. 1,0
  
2) Grün:   ca. 0,1 
2) Grün:   ca. 0,5 
2) Grün:   ca. 1,0
  
3) Gelb-grün:   ca. 0,1 
3) Gelb-grün:   ca. 0,5 
3) Gelb-grün:   ca. 1,0
  
4) Rot-orange:   ca. 0,1 
4) Rot-orange:   ca. 0,5 
4) Rot-orange:   ca. 1,0
  
5) Rot:   ca. 0,1 
5) Rot:   ca. 0,5 
5) Rot:   ca. 1,0 
";  1) Blau
[KE03:034];"
Welche Aussagen treffen auf den sogenannten Blinden Fleck zu?
Wählen Sie eine oder mehrere Antworten:Der blinde Fleck ist nichtexistent. 
Der blinde Fleck ist eine Trübung der Linse. 
Am blinden Fleck gibt es keine Stäbchen. 
Am blinden Fleck tritt der Sehnerv aus dem Auge heraus. 
Der blinde Fleck ist ein psychologischer Schutzmechanismus. 
";  Am blinden Fleck gibt es keine Stäbchen., Am blinden Fleck tritt der Sehnerv aus dem Auge heraus.
[KE03:095];"
Welche der folgenden Aussagen treffen (üblicherweise) zu, wenn das Membranpotential eines Axons -70mV beträgt?
Wählen Sie eine oder mehrere Antworten:Das Axon ist depolarisiert. 
Das Axon ist repolarisiert. 
Das Axon befindet sich am Maximum eines Aktionspotentials. 
Das Axon hat sein Ruhemembranpotential erreicht. 
Das Axon befindet sich im Ruhezustand. 
Das Axon hat das Schwellenpotential überschritten. 
";  Das Axon befindet sich im Ruhezustand., Das Axon hat sein Ruhemembranpotential erreicht., Das Axon ist repolarisiert.
[KE03:090];"
Wie wird die elektrische Spannung zwischen dem Inneren und dem Äußeren einer Nervenzelle bezeichnet und welche Größenordnung hat diese Spannung?
Wählen Sie eine oder mehrere Antworten:Schwellenpotential 
Barrierenspannung 
Millivolt 
Zellstrom 
Membranpotential 
Microvolt 
Nanovolt 
";  Millivolt, Membranpotential
[KE03:002];"
Wie nennt man den Bereich der Retina, auf den eine Ganglienzelle reagiert?
Wählen Sie eine Antwort:rezeptives Feld 
dekodiertes Feld 
dediziertes Feld 
rezipientes Feld 
reziprokes Feld 
";  rezeptives Feld
[KE03:109];"
Ab welcher Winkelabweichung des präsentierten Stimulus zum optimalen Stimulus fällt die Reaktion einer einfachen Zelle bereits deutlich ab?
Wählen Sie eine Antwort:ab 5 Grad 
ab 20 Grad 
ab 40 Grad 
ab 60 Grad 
ab 80 Grad 
";  ab 20 Grad
[KE03:060];"
Wie viele Stäbchen sind etwa in der Netzhaut vorhanden?
Wählen Sie eine Antwort:120 Millionen 
200 Millionen 
360 Millionen 
480 Millionen 
";  120 Millionen
[KE03:144];"
Das Hebb'sche Lernprinzip beschreibt und erklärt einen Zusammenhang zwischen Neuronen untereinander. Dabei geht man von der Situation aus, dass zwei Neuronen nahe genug zusammen liegen und dass das eine Neuron (""Empfänger"") wiederholt oder anhaltend vom anderen Neuron (""Sender"") erregt wird.
Dann besagt das Hebb'sche Lernprizip, dass...
Wählen Sie eine oder mehrere Antworten:eine Synapsenvergrößerung beim empfangenden Neuron eintreten wird. 
eine Synapsenvergrößerung beim sendenden Neuron eintreten kann. 
eine Synapsenvergrößerung beim sendenden Neuron eintreten wird. 
eine Synapsenvergrößerung beim empfangenden Neuron eintreten kann. 
das sendende Neuron Informationen an das empfangende Neuron vererbt und so das empfangende Neuron vom sendenden Neuron lernt. 
";  eine Synapsenvergrößerung beim empfangenden Neuron eintreten kann., eine Synapsenvergrößerung beim sendenden Neuron eintreten kann.
[KE03:135];"
Wie nennt man den Bereich des inferotemporalen Kortex des Menschen, in dem sich Neuronen befinden, die selektiv auf Gesichter reagieren?
Wählen Sie eine oder mehrere Antworten:Formiformes Gesichtsareal 
Fusiformes Gesichtsareal 
Fulminantes Gesichtsareal 
Vollfunktionales Gesichtsareal 
Faciformes Gesichtsareal 
";  Fusiformes Gesichtsareal
[KE03:129];"
Drei der folgenden Begriffe beschreiben dasselbe Konzept: dass wir komplexe Formen in unserer Umwelt meistens durch Aktivität kodieren, welche sich über mehrere Zellen erstreckt.
Welches Konzept ist hier gemeint?
Wählen Sie eine oder mehrere Antworten:Populationskodierung 
Kodierung durch Großmutterzellen 
Ensemblekodierung 
verteilte Repräsentation 
kumulative Repräsentation 
konspirative Kodierung 
Netz-Kodierung 
Cliquenkodierung 
";  Ensemblekodierung, verteilte Repräsentation, Populationskodierung
[KE03:137];"
Welche der folgenden Aussagen sind richtig?
Wählen Sie eine oder mehrere Antworten:Da die nasalen Sehnervenfasern im CGL die Gehirnseite wechseln, wird die Information vom linken Auge in der rechten Gehirnhälfte verarbeitet. 
Da die temporalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, wird die Information vom linken Auge in der rechten Gehirnhälfte verarbeitet. 
Da die nasalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich rechts in unserem Gesichtsfeld befinden, in der linken Gehirnhälfte verarbeitet. 
Da die temporalen Sehnervenfasern im CGL die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet. 
";  Da die nasalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich rechts in unserem Gesichtsfeld befinden, in der linken Gehirnhälfte verarbeitet.
[KE03:064];"
Wie wird eine Art der Kontaktstellen zwischen zwei Neuronen genannt?
Wählen Sie eine Antwort:Soma 
Dendriten 
Synapsen 
Axone 
";  Synapsen
[KE03:099];"
Im folgenden Bild umfasse der gestrichelte Kreis ein rezeptives Feld. Der gelbe Punkt sei ein heller Lichtreiz im Zentrum des rezeptiven Feldes. Welche Art von Nervenzelle reagiert auf einen solchen Reiz mit erhöhter Aktivität?

Wählen Sie eine Antwort:Off-Zentrum-On-Umfeld-Zelle 
On-Zentrum-Off-Umfeld-Zelle 
";  On-Zentrum-Off-Umfeld-Zelle
[KE03:118];"
Wie werden die Bereiche der Retina genannt, die nicht zur Fovea gehören?
Wählen Sie eine Antwort:Fovex 
Externale 
Peripherie 
Perpendikular 
Circumstratum 
";  Peripherie
[KE03:049];"
Wie viele verschiedene Arten von Zapfen gibt es im menschlichen Augen?
Wählen Sie eine Antwort:1 
2 
3 
4 
5 
";  3
[KE03:079];"
Wie nennt man das Zusammenführen der Signale mehrerer Neuronen zu wenigen?
Wählen Sie eine Antwort:Konferenz 
Co-Konstanz 
Konsequenz 
Kokostanz 
Konsistenz 
Kontinenz 
Konvergenz 
";  Konvergenz
[KE03:006];"
Woraus besteht das menschliche Gehirn?
Wählen Sie eine Antwort:Aus etwa 160 Milliarden Neuronen 
Aus etwa 16 Milliarden Neuronen 
Aus etwa 1,6 Milliarden Neutronen 
Aus etwa 160 Millionen Neuronen 
Aus etwa 16 Millionen Neuronen 
Aus etwa 1,6 Millionen Neuronen 
Aus durchschnittlich 1,4 kg ""toter Masse"", über die nicht viel bekannt ist. 
";  Aus etwa 160 Milliarden Neuronen
[KE03:116];"
Welche Eigenschaft der eingehenden Signale wird von einer selbstorganisierenden Karte genutzt, um eine niedrig-dimensionale Repräsentation des hochdimensionalen Eingaberaums aufzubauen?
Wählen Sie eine Antwort:Synchronität eingehender Signale 
Intensität eingehender Signale 
Dimensionsdifferenz zwischen eingehenden Signalen 
Asynchronität eingehender Signale 
Nachbarschaftsbeziehungen zwischen eingehenden Signalen 
";  Nachbarschaftsbeziehungen zwischen eingehenden Signalen
[KE03:016];"
Wie nennt man die Säulen, in die der visuelle Kortex aufgeteilt ist?
Wählen Sie eine Antwort:Ausrichtungssäulen 
Fixpunktsäulen 
Orientierungssäulen 
Elektrodensäulen 
";  Orientierungssäulen
[KE03:032];"
Licht, das von einem Gegenstand reflektiert wird, durchläuft verschiedene Stationen und diese in einer bestimmten Reihenfolge.
In welcher Reihenfolge werden die folgenden vier Stationen durchlaufen?
Wählen Sie eine oder mehrere Antworten:Hornhaut, Lupe, Linse, Retina 
Hornhaut, Pupille, Linse, Retina 
Hornhaut, Linse, Pupille, Retina 
Retina, Linse, Pupille, Hornhaut 
";  Hornhaut, Pupille, Linse, Retina
[KE03:131];"
Worin unterscheidet sich die Ermittlung der wellenlängenabhängigen Empfindlichkeit der Stäbchen im Vergleich zu der der Zapfen?
Wählen Sie eine oder mehrere Antworten:Es werden keine Lichtblitze verwendet sondern langsam auf- und abblendendes Licht. 
Es wird nur Licht aus dem infraroten Spektrum verwendet. 
Die Versuchspersonen werden einer möglichst gleichmäßigen Beleuchtung mittlerer Helligkeit ausgesetzt. 
Die Versuchspersonen werden völliger Dunkelheit ausgesetzt. 
Den Versuchspersonen werden die Augen verbunden, so dass nur diffuses Licht wahrgenommen wird. 
Die Lichtblitze werden nicht direkt auf die Fovea projiziert, sondern auf die Cornea. 
Die Lichtblitze werden nicht direkt auf die Fovea projiziert, sondern auf die Peripherie. 
";  Die Versuchspersonen werden völliger Dunkelheit ausgesetzt., Die Lichtblitze werden nicht direkt auf die Fovea projiziert, sondern auf die Peripherie.
[KE03:019];"
Was ist ein Membranpotential?
Wählen Sie eine Antwort:Osmotisches Druckausgleichspotential einer Nervenfaser 
Durchlässigkeit der Membran der Retina 
Durchlässigkeit der Membran einer Synapse 
Elektrische Spannung, die zwischen dem Inneren und dem Äußeren des Axons herrscht. 
";  Elektrische Spannung, die zwischen dem Inneren und dem Äußeren des Axons herrscht.
[KE03:086];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Umgangssprachlich wird die impulsartige Aktivität eines Neurons auch als feuern bezeichnet.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
[KE03:107];"
Wie werden synaptische Veränderungen in künstlichen neuronalen Netzen simuliert?
Wählen Sie eine Antwort:durch das Löschen von Kanten in einem neuronalen Graphen 
durch Gewichtsänderungen in einem neuronalen Graphen 
die synaptischen Veränderungen werden nicht simuliert 
durch die Veränderung der Schwellwertfunktion in den Knoten des neuronalen Graphen 
durch das Hinzufügen von Knoten in einem neuronalen Graphen 
";  durch Gewichtsänderungen in einem neuronalen Graphen
[KE03:038];"
Ordnen Sie den Wellenlängen die empfundene Farbe zu:

    a)  420 nm
    b)  530 nm
    c)  570 nm
Wählen Sie eine oder mehrere Antworten:a)  grün 
a)  blau bis violett 
a)  gelb bis gelb-orange 
a)  infrarot
  
b)  grün 
b)  blau bis violett 
b)  gelb bis gelb-orange 
b)  infrarot
  
c)  grün 
c)  blau bis violett 
c)  gelb bis gelb-orange 
c)  infrarot 
";  a)  blau bis violett, b)  grün, c)  gelb bis gelb-orange
[KE03:110];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Der sogenannte blinde Fleck in unserem Gesichtsfeld ist uns im Alltag nicht bewusst, da ein Mechanismus in unserem Gehirn die fehlende Information auffüllt.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
